Name,Sector,Gender,Number,Percentage
איאס,ערבי,זכר,25,0.14
אידו,יהודי,זכר,5,0.01
איהאב,ערבי,זכר,22,0.12
איוב,ערבי,זכר,52,0.29
איטן,יהודי,זכר,7,0.01
איידן,יהודי,זכר,8,0.01
אייזיק,יהודי,זכר,5,0.01
איילון,יהודי,זכר,15,0.02
אילון,יהודי,זכר,73,0.11
איליה,יהודי,זכר,11,0.02
איליי,יהודי,זכר,148,0.23
אילן,יהודי,זכר,56,0.09
אילעאי,יהודי,זכר,12,0.02
אילעי,יהודי,זכר,15,0.02
איסמאיל,ערבי,זכר,49,0.28
איתי,יהודי,זכר,1274,1.96
איתיאל,יהודי,זכר,30,0.05
איתם,יהודי,זכר,16,0.02
איתמר,יהודי,זכר,851,1.31
איתן,יהודי,זכר,1275,1.96
אכרם,ערבי,זכר,37,0.21
אל,יהודי,זכר,10,0.02
אלאור,יהודי,זכר,17,0.03
אלדד,יהודי,זכר,13,0.02
אלדר,יהודי,זכר,25,0.04
אלון,יהודי,זכר,673,1.03
אלחי,יהודי,זכר,10,0.02
אלחנן,יהודי,זכר,220,0.34
אלטר,יהודי,זכר,10,0.02
אליאב,יהודי,זכר,196,0.3
אליאור,יהודי,זכר,77,0.12
אליאל,יהודי,זכר,23,0.04
אליהב,יהודי,זכר,5,0.01
אליהו,יהודי,זכר,353,0.54
אלימלך,יהודי,זכר,68,0.1
אליסף,יהודי,זכר,17,0.03
אליעד,יהודי,זכר,18,0.03
אליעזר,יהודי,זכר,146,0.22
אליקים,יהודי,זכר,6,0.01
אלירן,יהודי,זכר,60,0.09
אלישי,יהודי,זכר,10,0.02
אלישיב,יהודי,זכר,27,0.04
אלישמע,יהודי,זכר,6,0.01
אלישע,יהודי,זכר,52,0.08
אלכסנדר,יהודי,זכר,44,0.07
אלן,יהודי,זכר,11,0.02
אלנתן,יהודי,זכר,38,0.06
אלעאי,יהודי,זכר,25,0.04
אלעד,יהודי,זכר,168,0.26
אלעזר,יהודי,זכר,181,0.28
אלקנה,יהודי,זכר,32,0.05
אלראי,יהודי,זכר,5,0.01
אלרואי,יהודי,זכר,125,0.19
אלרוי,יהודי,זכר,5,0.01
אלרום,יהודי,זכר,9,0.01
אלרועי,יהודי,זכר,20,0.03
אלתר,יהודי,זכר,18,0.03
אמג'ד,ערבי,זכר,22,0.12
אמוץ,יהודי,זכר,5,0.01
אמיל,יהודי,זכר,12,0.02
אמיתי,יהודי,זכר,184,0.28
אמרי,יהודי,זכר,65,0.1
אנדי,יהודי,זכר,10,0.02
אניל,ערבי,זכר,21,1.75
אנס,ערבי,זכר,85,0.48
אסא,יהודי,זכר,10,0.02
אסף,יהודי,זכר,296,0.46
אפיק,יהודי,זכר,19,0.03
אפרים,יהודי,זכר,95,0.15
אראל,יהודי,זכר,40,0.06
ארד,יהודי,זכר,27,0.04
ארטיום,יהודי,זכר,8,0.01
ארי,יהודי,זכר,146,0.22
אריק,יהודי,זכר,33,0.05
ארתור,יהודי,זכר,5,0.01
אשל,יהודי,זכר,7,0.01
אשר,יהודי,זכר,117,0.18
אשרף,ערבי,זכר,18,0.1
באסם,ערבי,זכר,51,0.29
בדר,ערבי,זכר,13,0.07
בהאא,ערבי,זכר,14,0.08
בולוס,ערבי,זכר,7,0.68
בועז,יהודי,זכר,78,0.12
בכר,ערבי,זכר,32,0.18
בלאל,ערבי,זכר,39,0.22
בן,יהודי,זכר,496,0.76
בן-אל,יהודי,זכר,6,0.01
בן-ציון,יהודי,זכר,6,0.01
בנאל,יהודי,זכר,5,0.01
בנג'מין,יהודי,זכר,10,0.02
בני,יהודי,זכר,5,0.01
בניה,יהודי,זכר,135,0.21
בניהו,יהודי,זכר,37,0.06
בנימין,יהודי,זכר,391,0.6
בצלאל,יהודי,זכר,37,0.06
בראל,יהודי,זכר,10,0.02
ברוך,יהודי,זכר,130,0.2
ברוק,יהודי,זכר,5,0.01
ברי,יהודי,זכר,12,0.02
ברק,יהודי,זכר,58,0.09
ברקאי,יהודי,זכר,5,0.01
בשאר,ערבי,זכר,19,0.11
בשיר,ערבי,זכר,19,0.11
ג'אבר,ערבי,זכר,17,0.1
ג'אן,יהודי,זכר,5,0.01
ג'וזף,ערבי,זכר,16,1.56
ג'ונתן,יהודי,זכר,8,0.01
ג'ורג',ערבי,זכר,42,4.11
ג'ושוע,יהודי,זכר,7,0.01
ג'יהאד,ערבי,זכר,23,0.13
ג'ייקוב,יהודי,זכר,4,0.01
ג'יריס,ערבי,זכר,11,1.08
ג'לאל,ערבי,זכר,16,0.09
ג'מאל,ערבי,זכר,64,0.36
ג'מיל,ערבי,זכר,24,0.13
ג'רייס,ערבי,זכר,6,0.59
גאזי,ערבי,זכר,12,0.07
גבע,יהודי,זכר,60,0.09
גד,יהודי,זכר,12,0.02
גדליה,יהודי,זכר,17,0.03
גדעון,יהודי,זכר,15,0.02
גולן,יהודי,זכר,22,0.03
גור,יהודי,זכר,44,0.07
גידי,יהודי,זכר,5,0.01
גלאור,יהודי,זכר,6,0.01
גלבוע,יהודי,זכר,8,0.01
גלעד,יהודי,זכר,120,0.18
גמליאל,יהודי,זכר,7,0.01
גרשון,יהודי,זכר,14,0.02
דאוד,ערבי,זכר,22,0.12
דב,יהודי,זכר,64,0.1
דביר,יהודי,זכר,201,0.31
דגן,יהודי,זכר,11,0.02
דובער,יהודי,זכר,8,0.01
דוד,יהודי,זכר,1408,2.17
דולב,יהודי,זכר,60,0.09
דומיניק,יהודי,זכר,9,0.01
דוראל,יהודי,זכר,9,0.01
דוריאן,יהודי,זכר,8,0.01
דותן,יהודי,זכר,9,0.01
דיאא,ערבי,זכר,18,0.1
דיויד,יהודי,זכר,18,0.03
דייויד,יהודי,זכר,7,0.01
דילן,יהודי,זכר,32,0.05
דין,יהודי,זכר,34,0.05
דמיטרי,יהודי,זכר,6,0.01
דנאל,יהודי,זכר,5,0.01
דניס,יהודי,זכר,9,0.01
דקל,יהודי,זכר,26,0.04
האדי,ערבי,זכר,41,0.23
האשם,ערבי,זכר,17,0.1
הוד,יהודי,זכר,32,0.05
הילאי,יהודי,זכר,7,0.01
הילל,יהודי,זכר,98,0.15
הישאם,ערבי,זכר,27,0.15
ואיל,ערבי,זכר,14,0.08
וליד,ערבי,זכר,67,0.38
וסאם,ערבי,זכר,58,0.33
זאב,יהודי,זכר,61,0.09
זוהיר,ערבי,זכר,16,0.09
זיאד,ערבי,זכר,41,0.23
זייד,ערבי,זכר,65,0.37
זיידאן,ערבי,זכר,18,0.1
זיין,ערבי,זכר,90,0.51
זכריא,ערבי,זכר,40,0.22
זלמן,יהודי,זכר,10,0.02
ח'אלד,ערבי,זכר,210,1.18
ח'ליל,ערבי,זכר,71,0.4
חאתם,ערבי,זכר,17,0.1
חביב,ערבי,זכר,21,0.12
חגי,יהודי,זכר,39,0.06
חוסאם,ערבי,זכר,35,0.2
חוסין,ערבי,זכר,105,0.59
חי,יהודי,זכר,7,0.01
חיים,יהודי,זכר,551,0.85
חמד,ערבי,זכר,18,0.1
