Name,Sector,Gender,Number,Percentage
עטל,Jew,Female,15,0.02
פראדל,Jew,Female,15,0.02
ליפז,Jew,Female,15,0.02
מירי,Jew,Female,15,0.02
לינור,Jew,Female,15,0.02
שריי,Jew,Female,15,0.02
בלה,Jew,Female,15,0.02
פייגי,Jew,Female,14,0.02
קשת,Jew,Female,14,0.02
זיסל,Jew,Female,14,0.02
אלטע,Jew,Female,14,0.02
הגר,Jew,Female,14,0.02
רנה,Jew,Female,14,0.02
תגל,Jew,Female,14,0.02
שירלי,Jew,Female,14,0.02
טופז,Jew,Female,14,0.02
ניקה,Jew,Female,13,0.02
אנבל,Jew,Female,13,0.02
הענא,Jew,Female,13,0.02
אורלי,Jew,Female,13,0.02
ברוריה,Jew,Female,13,0.02
גאולה,Jew,Female,13,0.02
חדוה,Jew,Female,13,0.02
יהלום,Jew,Female,13,0.02
עלקא,Jew,Female,13,0.02
עטרת,Jew,Female,13,0.02
מיטב,Jew,Female,13,0.02
רימון,Jew,Female,13,0.02
מילנה,Jew,Female,12,0.02
דליה,Jew,Female,12,0.02
הלני,Jew,Female,12,0.02
לונה,Jew,Female,12,0.02
פסיה,Jew,Female,12,0.02
פרידא,Jew,Female,12,0.02
מיילי,Jew,Female,12,0.02
יעלי,Jew,Female,12,0.02
דוריה,Jew,Female,12,0.02
עיינה,Jew,Female,12,0.02
טובי,Jew,Female,12,0.02
פרומט,Jew,Female,12,0.02
אנסטסיה,Jew,Female,11,0.02
מוריאל,Jew,Female,11,0.02
איריס,Jew,Female,11,0.02
שיינה,Jew,Female,11,0.02
חני,Jew,Female,11,0.02
איילין,Jew,Female,11,0.02
פז,Jew,Female,11,0.02
תרצה,Jew,Female,11,0.02
רינת,Jew,Female,11,0.02
אורפז,Jew,Female,11,0.02
אשירה,Jew,Female,10,0.02
אילנה,Jew,Female,10,0.02
קרולינה,Jew,Female,10,0.02
פרומה,Jew,Female,10,0.02
ארייה,Jew,Female,10,0.02
בתאל,Jew,Female,10,0.02
אסיה,Jew,Female,10,0.02
שאנל,Jew,Female,10,0.02
כנה,Jew,Female,10,0.02
יפעת,Jew,Female,10,0.02
אבלין,Jew,Female,10,0.02
מאירה,Jew,Female,10,0.02
ענת,Jew,Female,10,0.02
פרידה,Jew,Female,10,0.02
אופאל,Jew,Female,10,0.02
בל,Jew,Female,10,0.02
אריקה,Jew,Female,9,0.01
אורית,Jew,Female,9,0.01
תלמה,Jew,Female,9,0.01
לבנה,Jew,Female,9,0.01
קמילה,Jew,Female,9,0.01
קסם,Jew,Female,9,0.01
גאלדא,Jew,Female,9,0.01
מיי,Jew,Female,9,0.01
סוניה,Jew,Female,9,0.01
מירה,Jew,Female,9,0.01
